epoch, inception_score 
0, 2.64
1, 2.9
2, 2.89
3, 2.89
4, 2.79
5, 2.83
6, 3.04
7, 3.04
8, 3.04
9, 3.21
10, 3.2
11, 3.33
12, 3.28
13, 3.7
14, 3.79
15, 3.56
16, 3.79
17, 3.74
18, 3.61
19, 3.87
20, 3.91
21, 3.7
22, 4.14
23, 4.01
24, 4.23
25, 4.11
26, 4.04
27, 4.15
28, 4.35
29, 4.24
30, 4.14
31, 4.01
32, 4.13
33, 4.07
34, 4.08
35, 4.09
36, 4.09
37, 4.2
38, 4.02
39, 4.26
40, 4.36
41, 4.32
42, 4.2
43, 4.33
44, 4.08
45, 4.32
46, 4.35
47, 4.04
48, 4.22
49, 4.14
