epoch, inception_score 
0, 2.87
1, 2.97
2, 2.92
3, 3.53
4, 3.6
5, 4.02
6, 3.52
7, 3.7
8, 4.15
9, 3.71
10, 3.7
11, 4.24
12, 3.51
13, 3.99
14, 3.88
15, 4.15
16, 4.33
17, 4.33
18, 4.52
19, 4.48
20, 3.91
21, 4.17
22, 4.19
23, 4.27
24, 3.89
25, 4.51
26, 4.86
27, 4.49
28, 4.22
29, 4.48
30, 4.36
31, 4.33
32, 4.45
33, 4.17
34, 4.35
35, 4.52
36, 4.65
37, 4.59
38, 4.21
39, 4.49
40, 4.56
41, 4.73
42, 4.55
43, 4.17
44, 4.45
45, 4.87
46, 4.6
47, 4.56
48, 4.28
49, 4.48
